99553,54.143,-165.7854
99571,55.1858,-162.7211
99583,54.8542,-163.4113
99612,55.0628,-162.3056
99661,55.3192,-160.4914
99546,51.873999999999995,-176.63400000000001
99547,52.1961,-174.2006
99591,56.5944,-169.6186
99638,52.9381,-168.8678
99660,57.1842,-170.2764
99685,53.8871,-166.5199
99692,53.8898,-166.5422
99501,61.2116,-149.8761
99502,61.1661,-149.96
99503,61.19,-149.8938
99504,61.2037,-149.7447
99505,59.8666,-158.5996
99506,59.8666,-158.5996
99507,61.1535,-149.8289
99508,61.206,-149.8101
99509,61.2181,-149.9003
99510,61.1446,-149.8784
99511,61.0683,-149.8005
99513,61.2149,-149.8862
99514,61.2181,-149.9003
99515,61.1194,-149.8974
99516,61.1054,-149.78
99517,61.1901,-149.9361
99518,61.1549,-149.8866
99519,61.1089,-149.4403
99520,61.2181,-149.9003
99521,61.2181,-149.9003
99522,61.2181,-149.9003
99523,61.2181,-149.9003
99524,61.2181,-149.9003
99529,61.1515,-149.9443
99530,61.1515,-149.9443
99540,61.1089,-149.4403
99567,61.4098,-149.4537
99577,61.3114,-149.5085
99587,60.9577,-149.1406
99599,61.1872,-149.8804
99695,61.1089,-149.4403
99545,59.9599,-162.8919
99551,60.9094,-161.4314
99552,60.9122,-161.2139
99557,61.5783,-159.5222
99559,60.7922,-161.7558
99561,60.1537,-164.2103
99575,61.8181,-158.0025
99578,60.2151,-162.0323
99589,59.1189,-161.5875
99607,61.541000000000004,-160.3261
99609,60.8956,-162.5181
99614,59.9232,-164.101
99621,60.8122,-161.4358
99622,59.8644,-163.1342
99626,61.5138,-160.36
99630,60.3657,-166.2836
99634,60.6967,-161.9519
99637,60.5338,-165.1037
99641,60.8969,-162.4594
99651,59.0131,-161.8164
99655,59.7381,-161.8749
99656,61.7611,-157.3125
99668,61.7025,-157.1697
99679,61.1088,-160.9389
99680,60.3431,-162.6631
99681,60.5856,-165.2558
99690,60.4794,-164.7239
99613,58.6883,-156.6614
99633,58.783,-156.8992
